Level: State
Unit:Per Capita (dollars), Nominal
State,Year,(R01) Total Revenue,(R05) Total Taxes,(R39) Chg-Total Education,(R41) Chg-Total High Ed,(R46) Chg-Highways,(R64) Total Utility Revenue,(E049) Gen Pub Bldg-Total Exp,(E052) Health & Hosp-Dir Exp,(E061) Own Hospital-Total Exp,(E065) Total Highways-Dir Exp,(E083) Parking-Direct Expend,(E087) Police Prot-Direct Exp
Nebraska,2015.0,$           5772,$           2671,$            374,$            352,$              1,$              0,$              3,$            267,N/A,$            415,$              0,$             40
Nebraska,2016.0,$           5534,$           2663,$            418,$            393,$              1,$              0,$              3,$            226,N/A,$            462,$              0,$             42
Nebraska,2017.0,$           6293,$           2638,$            411,$            389,$              1,$              0,$              2,$            248,N/A,$            418,$              0,$             43
Nebraska,2018.0,$           6405,$           2772,$            442,$            420,$              1,$              0,$              2,$            236,N/A,$            418,$              0,$             43
Nebraska,2019.0,$           6315,$           2944,$            419,$            396,$              1,$              0,$              2,$            242,N/A,$            404,$              0,$             42
Nebraska,2020.0,$           7095,$           2986,$            454,$            431,$              1,$              0,$              7,$            244,N/A,$            485,$              0,$             46
Nevada,2010.0,$           5201,$           2160,$            181,$            181,$              1,$             31,$             16,$            164,N/A,$            226,$              0,$             33
Nevada,2011.0,$           6492,$           2336,$            198,$            198,$              0,$             33,$             13,$            168,N/A,$            253,$              0,$             35
Nevada,2012.0,$           5008,$           2473,$            163,$            162,$              1,$             33,$              8,$            178,N/A,$            323,$              0,$             33
Nevada,2013.0,$           6118,$           2537,$            168,$            168,$              1,$             29,$              8,$            176,N/A,$            320,$              0,$             33
Nevada,2014.0,$           6506,$           2542,$            175,$            174,$              1,$             22,$              8,$            166,N/A,$            148,$              0,$             29
Nevada,2015.0,$           5751,$           2637,$            175,$            173,$              1,$             20,$             11,$            162,N/A,$            182,$              0,$             27
Nevada,2016.0,$           5779,$           2762,$            181,$            180,$              1,$             17,$             12,$            158,N/A,$            214,$              0,$             27
Nevada,2017.0,$           7349,$           2918,$            182,$            182,$              1,$             15,$             14,$            192,N/A,$            307,$              0,$             30
Nevada,2018.0,$           7242,$           3041,$            180,$            179,$              2,$             15,$             12,$            197,N/A,$            315,$              0,$             32
Nevada,2019.0,$           7427,$           3175,$            185,$            184,$              1,$             16,$             14,$            186,N/A,$            264,$              0,$             30
Nevada,2020.0,$           7294,$           3036,$            188,$            188,$              1,$             17,$             17,$            199,N/A,$            284,$              0,$             32
Arizona,2010.0,$           5211,$           1674,$            276,$            272,$              3,$              5,$              4,$            299,N/A,$            225,$              0,$             36
Arizona,2011.0,$           5899,$           1903,$            307,$            303,$              2,$              5,$              4,$            275,N/A,$            213,$              0,$             36
Arizona,2012.0,$           4901,$           1997,$            263,$            258,$              1,$              5,$              4,$            395,N/A,$            207,$              0,$             35
Arizona,2013.0,$           5728,$           2102,$            285,$            281,$              1,$              5,$              5,$            384,N/A,$            192,$              0,$             34
Arizona,2014.0,$           5910,$           2022,$            305,$            302,$              1,$              4,$              5,$            424,N/A,$            167,$              0,$             35
Arizona,2015.0,$           5389,$           2044,$            337,$            336,$              2,$              4,$              4,$            101,N/A,$            189,$              0,$             34
Arizona,2016.0,$           5618,$           2200,$            362,$            360,$              2,$              4,$             14,$             95,N/A,$            211,$              0,$             32
Arizona,2017.0,$           6491,$           2224,$            385,$            383,$              2,$              4,$              7,$             79,N/A,$            206,$              0,$             37
Arizona,2018.0,$           6684,$           2328,$            391,$            390,$              2,$              5,$              4,$             81,N/A,$            213,$              0,$             37
Arizona,2019.0,$           6719,$           2549,$            402,$            401,$              2,$              3,$              3,$             80,N/A,$            200,$              0,$             37
Arizona,2020.0,$           6888,$           2459,$            405,$            404,$              2,$              3,$              4,$             84,N/A,$            209,$              0,$             40
New Hampshire,2010.0,$           6055,$           1725,$            471,$            470,$            123,$              0,$             17,$            107,N/A,$            394,$              0,$             45
New Hampshire,2011.0,$           6397,$           1706,$            494,$            494,$            111,$              0,$             19,$            104,N/A,$            392,$              0,$             42
New Hampshire,2012.0,$           5411,$           1661,$            431,$            431,$            129,$              0,$             24,$             96,N/A,$            387,$              0,$             42
New Hampshire,2013.0,$           6335,$           1768,$            447,$            447,$            143,$              0,$             20,$             96,N/A,$            406,$              0,$             41
New Hampshire,2014.0,$           6357,$           1707,$            444,$            444,$            118,$              0,$             21,$            104,N/A,$            362,$              0,$             42
New Hampshire,2015.0,$           5973,$           1852,$            448,$            448,$            121,$              0,$             23,$            115,N/A,$            323,$              0,$             46
New Hampshire,2016.0,$           6160,$           1940,$            454,$            454,$            117,$              0,$             23,$            132,N/A,$            313,$              0,$             46
New Hampshire,2017.0,$           6918,$           1907,$            455,$            455,$            111,$              0,$             25,$            139,N/A,$            341,$              0,$             52
New Hampshire,2018.0,$           7135,$           2140,$            451,$            451,$            105,$              0,$             25,$            157,N/A,$            340,$              0,$             48
New Hampshire,2019.0,$           6982,$           2182,$            449,$            449,$            108,$              0,$             35,$            160,N/A,$            342,$              0,$             51
New Hampshire,2020.0,$           7547,$           2074,$            399,$            399,$            103,$              0,$             18,$            151,N/A,$            367,$              0,$             53
New Jersey,2010.0,$           7553,$           2943,$            318,$            277,$            133,$            100,$              3,$            383,N/A,$            306,$              0,$             50
New Jersey,2011.0,$           7975,$           3062,$            318,$            295,$            128,$            111,$              3,$            372,N/A,$            344,$              0,$             56
New Jersey,2012.0,$           6746,$           3073,$            263,$            256,$            126,$            112,$              4,$            487,N/A,$            360,$              0,$             70
New Jersey,2013.0,$           7946,$           3236,$            270,$            264,$            176,$            110,$              4,$            549,N/A,$            427,$              0,$             67
New Jersey,2014.0,$           8299,$           3285,$            279,$            273,$            178,$            114,$              4,$            598,N/A,$            437,$              0,$             68
New Jersey,2015.0,$           7764,$           3478,$            299,$            295,$            181,$            116,$              5,$            548,N/A,$            408,$              0,$             64
New Jersey,2016.0,$           7355,$           3459,$            315,$            308,$            190,$            123,$              5,$            541,N/A,$            370,$              0,$             65
New Jersey,2017.0,$           8530,$           3608,$            313,$            308,$            195,$            122,$              5,$            459,N/A,$            293,$              0,$             64
New Jersey,2018.0,$           8734,$           3836,$            311,$            306,$            195,$            119,$              5,$            483,N/A,$            311,$              0,$             65
New Jersey,2019.0,$           8792,$           4153,$            320,$            315,$            201,$            119,$              4,$            524,N/A,$            347,$              0,$             67
New Jersey,2020.0,$           8502,$           4087,$            319,$            315,$            199,$             93,$              5,$            497,N/A,$            325,$              0,$             86
New Mexico,2010.0,$           8452,$           2080,$            303,$            299,$              5,$              0,$             41,$            704,N/A,$            406,$              0,$             64
New Mexico,2011.0,$           9484,$           2335,$            319,$            315,$              6,$              0,$             44,$            680,N/A,$            366,$              0,$             60
New Mexico,2012.0,$           7450,$           2617,$            267,$            264,$              5,$              0,$             25,$            669,N/A,$            318,$              0,$             55
New Mexico,2013.0,$           8687,$           2571,$            274,$            271,$              6,$              0,$             29,$            681,N/A,$            341,$              0,$             54
New Mexico,2014.0,$           9692,$           2748,$            261,$            258,$              5,$              0,$             31,$            716,N/A,$            332,$              0,$             59
New Mexico,2015.0,$           9236,$           2867,$            277,$            274,$              7,$              0,$              0,$            919,N/A,$            356,$              0,$             58
New Mexico,2016.0,$           8817,$           2467,$            283,$            280,$              6,$              0,$              0,$            915,N/A,$            320,$              0,$             59
New Mexico,2017.0,$           9850,$           2537,$            284,$            281,$              6,$              0,$              0,$            751,N/A,$            297,$              0,$             60
New Mexico,2018.0,$           9900,$           2634,$            256,$            253,$              6,$              0,$              0,$            746,N/A,$            313,$              0,$             59
New Mexico,2019.0,$          11365,$           3520,$            265,$            262,$              7,$              0,$             46,$            800,N/A,$            334,$              0,$             64
New Mexico,2020.0,$          10648,$           3377,$            273,$            270,$              6,$              0,$              0,$            895,N/A,$            376,$              0,$             65
New York,2010.0,$          10079,$           3286,$            177,$            173,$             37,$            382,$             12,$            452,N/A,$            238,$              0,$             45
New York,2011.0,$          10487,$           3466,$            181,$            177,$             38,$            408,$             12,$            454,N/A,$            248,$              0,$             42
New York,2012.0,$           8773,$           3621,$            144,$            140,$             38,$            406,$             12,$            462,N/A,$            238,$              0,$             40
New York,2013.0,$           9672,$           3703,$            130,$            129,$             40,$            397,$              8,$            380,N/A,$            208,$              0,$             40
New York,2014.0,$          10208,$           3849,$            138,$            137,$             40,$            428,$              9,$            406,N/A,$            218,$              0,$             37
New York,2015.0,$           9732,$           3893,$            145,$            142,$             41,$            432,$             10,$            403,N/A,$            221,$              0,$             37
New York,2016.0,$           9092,$           4039,$            150,$            148,$             41,$            401,$             10,$            416,N/A,$            229,$              0,$             40
New York,2017.0,$          10611,$           3946,$            154,$            151,$             42,$            382,$             10,$            439,N/A,$            243,$              0,$             43
New York,2018.0,$          11074,$           4296,$            152,$            150,$             44,$            400,$             10,$            464,N/A,$            311,$              0,$             44
New York,2019.0,$          10657,$           4222,$            155,$            152,$             45,$            413,$             10,$            474,N/A,$            335,$              0,$             43
New York,2020.0,$          10325,$           4600,$            149,$            146,$             46,$            397,$             10,$            518,N/A,$            226,$              0,$             47
North Carolina,2010.0,$           6004,$           2248,$            288,$            286,$              1,$              0,$              5,$            318,N/A,$            296,$              0,$             48
North Carolina,2011.0,$           6554,$           2323,$            311,$            309,$              1,$              0,$              5,$            314,N/A,$            331,$              0,$             48
North Carolina,2012.0,$           5378,$           2336,$            285,$            283,$              1,$              0,$              6,$            177,N/A,$            347,$              0,$             33
North Carolina,2013.0,$           6110,$           2430,$            298,$            297,$              3,$              0,$              4,$            185,N/A,$            357,$              0,$             37
North Carolina,2014.0,$           6429,$           2380,$            312,$            311,$              3,$              0,$              4,$            284,N/A,$            366,$              0,$             39
North Carolina,2015.0,$           5762,$           2517,$            323,$            322,$              4,$              0,$              5,$            275,N/A,$            357,$              0,$             47
North Carolina,2016.0,$           5665,$           2602,$            337,$            337,$              5,$              0,$              6,$            299,N/A,$            368,$              0,$             50
North Carolina,2017.0,$           6688,$           2641,$            348,$            347,$              5,$              0,$              7,$            323,N/A,$            414,$              0,$             53
North Carolina,2018.0,$           6554,$           2711,$            361,$            360,$              6,$              0,$              5,$            341,N/A,$            492,$              0,$             55
North Carolina,2019.0,$           6669,$           2828,$            362,$            362,$              7,$              0,$              5,$            349,N/A,$            569,$              0,$             59
North Carolina,2020.0,$           6667,$           2707,$            345,$            345,$              8,$              0,$              5,$            367,N/A,$            497,$              0,$             58
North Dakota,2010.0,$           9064,$           3919,$            595,$            590,$              1,$              0,$              9,$            257,N/A,$            751,$              0,$             38
North Dakota,2011.0,$          11361,$           5563,$            620,$            614,$              1,$              0,$              6,$            239,N/A,$            842,$              0,$             43
North Dakota,2012.0,$          10546,$           5880,$            535,$            527,$              3,$              0,$             10,$            208,N/A,$           1212,$              0,$             34
North Dakota,2013.0,$          12591,$           7285,$            558,$            549,$              3,$              0,$             10,$            223,N/A,$           1070,$              0,$             39
North Dakota,2014.0,$          13428,$           8222,$            545,$            536,$              2,$              0,$              9,$            220,N/A,$           1425,$              0,$             40
North Dakota,2015.0,$          12847,$           7521,$            546,$            533,$              2,$              0,$             15,$            228,N/A,$           1267,$              0,$             48
North Dakota,2016.0,$           9564,$           4851,$            567,$            552,$              3,$              0,$             10,$            225,N/A,$           1318,$              0,$             41
North Dakota,2017.0,$          10137,$           4520,$            578,$            566,$              3,$              0,$             14,$            267,N/A,$           1088,$              0,$             60
North Dakota,2018.0,$          11529,$           5451,$            572,$            568,$              0,$              0,$              9,$            235,N/A,$            811,$              0,$             49
North Dakota,2019.0,$          12152,$           6400,$            562,$            556,$              2,$              0,$              9,$            258,N/A,$            807,$              0,$             56
North Dakota,2020.0,$          13000,$           5567,$            557,$            549,$              1,$              0,$              8,$            233,N/A,$            837,$              0,$             51
Ohio,2010.0,$           7683,$           2043,$            433,$            430,$             18,$              0,$              5,$            336,N/A,$            214,$              0,$             24
Ohio,2011.0,$           8396,$           2165,$            466,$            463,$             22,$              0,$              5,$            353,N/A,$            234,$              0,$             24
Ohio,2012.0,$           5979,$           2240,$            396,$            396,$             22,$              0,$              5,$            318,N/A,$            257,$              0,$             25
Ohio,2013.0,$           7575,$           2346,$            405,$            405,$             23,$              0,$              5,$            347,N/A,$            252,$              0,$             26
Ohio,2014.0,$           8184,$           2320,$            410,$            410,$             24,$              0,$              5,$            349,N/A,$            263,$              0,$             26
Ohio,2015.0,$           7119,$           2424,$            416,$            416,$             25,$              0,$              6,$            337,N/A,$            282,$              0,$             26
Ohio,2016.0,$           6632,$           2452,$            424,$            424,$             26,$              0,$              7,$            344,N/A,$            291,$              0,$             27
Ohio,2017.0,$           8328,$           2511,$            434,$            434,$             27,$              0,$              8,$            383,N/A,$            290,$              0,$             28
Ohio,2018.0,$           8607,$           2493,$            427,$            427,$             27,$              0,$             10,$            385,N/A,$            286,$              0,$             37
Ohio,2019.0,$           7380,$           2603,$            429,$            429,$             28,$              0,$             10,$            443,N/A,$            271,$              0,$             40
Ohio,2020.0,$           9329,$           2594,$            410,$            410,$             28,$              0,$             12,$            491,N/A,$            301,$              0,$             41
Oklahoma,2010.0,$           6336,$           1884,$            452,$            451,$             57,$            131,$              9,$            213,N/A,$            415,$              0,$             46
Oklahoma,2011.0,$           6938,$           2054,$            487,$            486,$             61,$            151,$              4,$            264,N/A,$            440,$              0,$             56
Oklahoma,2012.0,$           6107,$           2313,$            441,$            440,$             60,$            153,$             16,$            254,N/A,$            385,$              0,$             41
Oklahoma,2013.0,$           6993,$           2311,$            455,$            454,$             61,$            156,$              9,$            254,N/A,$            377,$              0,$             44
Oklahoma,2014.0,$           7274,$           2337,$            480,$            479,$             61,$            164,$             10,$            270,N/A,$            415,$              0,$             46
Oklahoma,2015.0,$           6468,$           2485,$            497,$            497,$             64,$            174,$              9,$            256,N/A,$            449,$              0,$             47
Oklahoma,2016.0,$           5811,$           2237,$            513,$            513,$             66,$            157,$             10,$            263,N/A,$            452,$              0,$             46
Oklahoma,2017.0,$           6803,$           2129,$            525,$            524,$             69,$            158,$              7,$            307,N/A,$            458,$              0,$             45
Oklahoma,2018.0,$           6854,$           2400,$            550,$            549,$             77,$            163,$              6,$            280,N/A,$            462,$              0,$             45
Oklahoma,2019.0,$           7034,$           2721,$            559,$            558,$             81,$            164,$              6,$            277,N/A,$            514,$              0,$             46
Oklahoma,2020.0,$           7330,$           2568,$            550,$            549,$             84,$            158,$              6,$            313,N/A,$            538,$              0,$             50
Oregon,2010.0,$           7528,$           1948,$            324,$            323,$              2,$              0,$              3,$            471,N/A,$            348,$              0,$             44
Oregon,2011.0,$           8984,$           2096,$            382,$            381,$              5,$              0,$              3,$            514,N/A,$            317,$              0,$             41
Oregon,2012.0,$           6759,$           2238,$            338,$            337,$              9,$              0,$              2,$            774,N/A,$            297,$              0,$             40
Oregon,2013.0,$           8867,$           2335,$            361,$            360,$              7,$              0,$              3,$            783,N/A,$            289,$              0,$             42
Oregon,2014.0,$           9540,$           2442,$            337,$            336,$              7,$              0,$              4,$            706,N/A,$            296,$              0,$             42
Oregon,2015.0,$           8842,$           2632,$            392,$            391,$              8,$              0,$              3,$            659,N/A,$            291,$              0,$             44
Oregon,2016.0,$           8191,$           2660,$            403,$            402,$              7,$              0,$              3,$            722,N/A,$            281,$              0,$             49
Oregon,2017.0,$          10337,$           2855,$            397,$            396,$              9,$              0,$              7,$            785,N/A,$            285,$              0,$             48
Oregon,2018.0,$          10457,$           3023,$            408,$            407,$             11,$              0,$              4,$            824,N/A,$            269,$              0,$             55
Oregon,2019.0,$          10641,$           3322,$            406,$            405,$              7,$              0,$              4,$            823,N/A,$            298,$              0,$             57
Oregon,2020.0,$          10101,$           3012,$            389,$            388,$              6,$              0,$              8,$            860,N/A,$            282,$              0,$             58
Pennsylvania,2010.0,$           6549,$           2372,$            367,$            339,$             55,$              0,$             87,$            283,N/A,$            530,$              0,$             65
Pennsylvania,2011.0,$           7180,$           2533,$            388,$            356,$             58,$              0,$             64,$            379,N/A,$            556,$              0,$             66
Pennsylvania,2012.0,$           5900,$           2571,$            411,$            377,$             65,$              0,$             60,$            388,N/A,$            547,$              0,$             69
Pennsylvania,2013.0,$           7061,$           2644,$            424,$            383,$             68,$              0,$             57,$            408,N/A,$            544,$              0,$             69
Pennsylvania,2014.0,$           6905,$           2655,$            431,$            389,$             72,$              0,$             60,$            426,N/A,$            486,$              0,$             74
Pennsylvania,2015.0,$           6789,$           2800,$            456,$            421,$             76,$              0,$             68,$            447,N/A,$            571,$              0,$             79
Pennsylvania,2016.0,$           6998,$           2895,$            465,$            425,$             84,$              0,$             45,$            507,N/A,$            615,$              0,$             80
Pennsylvania,2017.0,$           7880,$           2966,$            451,$            411,$             89,$              0,$             30,$            534,N/A,$            570,$              0,$             84
Pennsylvania,2018.0,$           8352,$           3136,$            490,$            452,$             96,$              0,$             38,$            568,N/A,$            640,$              0,$             86
Pennsylvania,2019.0,$           8247,$           3320,$            475,$            441,$            107,$              0,$             48,$            595,N/A,$            659,$              0,$             88
Pennsylvania,2020.0,$           8912,$           3132,$            469,$            434,$            103,$              0,$             39,$            614,N/A,$            620,$              0,$             90
Arkansas,2010.0,$           6803,$           2588,$            367,$            366,$              7,$              0,$              3,$            364,N/A,$            264,$              0,$             28
Arkansas,2011.0,$           7753,$           2706,$            395,$            395,$              9,$              0,$              3,$            386,N/A,$            305,$              0,$             33
Arkansas,2012.0,$           6139,$           2810,$            294,$            293,$              2,$              0,$              3,$            350,N/A,$            343,$              0,$             38
Arkansas,2013.0,$           7372,$           2906,$            318,$            317,$              2,$              0,$              3,$            349,N/A,$            360,$              0,$             34
Arkansas,2014.0,$           7855,$           3011,$            325,$            324,$              2,$              0,$              3,$            367,N/A,$            396,$              0,$             34
Arkansas,2015.0,$           7270,$           3087,$            287,$            286,$              3,$              0,$              3,$            385,N/A,$            405,$              0,$             36
Arkansas,2016.0,$           7166,$           3164,$            306,$            305,$              2,$              0,$              3,$            398,N/A,$            405,$              0,$             36
Arkansas,2017.0,$           8665,$           3182,$            406,$            405,$              3,$              0,$              3,$            427,N/A,$            488,$              0,$             35
Arkansas,2018.0,$           8666,$           3276,$            418,$            418,$              2,$              0,$              3,$            462,N/A,$            478,$              0,$             35
Arkansas,2019.0,$           8220,$           3401,$            427,$            427,$              2,$              0,$              3,$            460,N/A,$            382,$              0,$             36
Arkansas,2020.0,$           9393,$           3405,$            429,$            429,$              2,$              0,$              3,$            510,N/A,$            409,$              0,$             35
Rhode Island,2010.0,$           8102,$           2435,$            467,$            441,$             16,$             26,$             27,$            235,N/A,$            213,$              0,$             73
Rhode Island,2011.0,$           8843,$           2563,$            487,$            462,$             17,$             29,$             29,$            217,N/A,$            223,$              0,$             67
Rhode Island,2012.0,$           7656,$           2697,$            400,$            368,$             26,$             31,$             53,$            246,N/A,$            338,$              0,$             68
Rhode Island,2013.0,$           8593,$           2745,$            415,$            384,$             46,$             31,$             56,$            244,N/A,$            314,$              0,$             72
Rhode Island,2014.0,$           8577,$           2772,$            415,$            381,$             33,$             31,$             64,$            248,N/A,$            326,$              0,$             77
Rhode Island,2015.0,$           8255,$           2938,$            411,$            383,$             40,$             23,$             61,$            241,N/A,$            299,$              0,$             82
Rhode Island,2016.0,$           8074,$           2999,$            416,$            394,$             42,$             21,$             60,$            255,N/A,$            308,$              0,$             78
Rhode Island,2017.0,$           8848,$           3011,$            419,$            400,$             40,$             22,$             78,$            272,N/A,$            313,$              0,$             86
Rhode Island,2018.0,$           8788,$           3076,$            436,$            415,$             42,$             21,$             67,$            275,N/A,$            378,$              0,$             83
Rhode Island,2019.0,$           8906,$           3253,$            427,$            409,$             51,$             23,$             59,$            283,N/A,$            477,$              0,$             87
Rhode Island,2020.0,$           9903,$           3217,$            455,$            440,$             52,$             20,$             61,$            412,N/A,$            544,$              0,$             93
South Carolina,2010.0,$           6215,$           1563,$            472,$            469,$              7,$            364,$              7,$            524,N/A,$            252,$              0,$             34
South Carolina,2011.0,$           6806,$           1649,$            503,$            501,$              6,$            403,$              7,$            516,N/A,$            231,$              0,$             37
South Carolina,2012.0,$           5392,$           1715,$            400,$            392,$              4,$            404,$              4,$            527,N/A,$            245,$              0,$             33
South Carolina,2013.0,$           6179,$           1843,$            419,$            412,$              4,$            396,$              0,$            491,N/A,$            195,$              0,$             32
South Carolina,2014.0,$           6733,$           1879,$            430,$            422,$              6,$            376,$              0,$            511,N/A,$            227,$              0,$             32
South Carolina,2015.0,$           6255,$           1978,$            447,$            439,$              5,$            409,$              0,$            546,N/A,$            236,$              0,$             32
South Carolina,2016.0,$           6029,$           1926,$            466,$            458,$              8,$            380,$              0,$            572,N/A,$            272,$              0,$             34
South Carolina,2017.0,$           6908,$           1972,$            482,$            474,$             17,$            348,$              0,$            558,N/A,$            354,$              0,$             36
South Carolina,2018.0,$           6992,$           2097,$            492,$            485,$             18,$            347,$              0,$            592,N/A,$            361,$              0,$             33
South Carolina,2019.0,$           6911,$           2210,$            506,$            500,$             20,$            353,$              0,$            639,N/A,$            352,$              0,$             34
South Carolina,2020.0,$           7088,$           2299,$            497,$            491,$             18,$            332,$              0,$            735,N/A,$            383,$              0,$             35
South Dakota,2010.0,$           5618,$           1619,$            337,$            337,$              0,$              0,$             86,$            236,N/A,$            603,$              0,$             38
South Dakota,2011.0,$           7310,$           1676,$            335,$            335,$              0,$              0,$              5,$            244,N/A,$            683,$              0,$             38
South Dakota,2012.0,$           5215,$           1827,$            298,$            293,$              1,$              1,$              9,$            210,N/A,$            741,$              0,$             41
South Dakota,2013.0,$           6866,$           1823,$            317,$            311,$              1,$              3,$              9,$            213,N/A,$            716,$              0,$             42
South Dakota,2014.0,$           7172,$           1898,$            322,$            317,$              3,$              2,$             13,$            219,N/A,$            689,$              0,$             45
South Dakota,2015.0,$           5578,$           1965,$            336,$            329,$              2,$              2,$             17,$            193,N/A,$            641,$              0,$             51
South Dakota,2016.0,$           5229,$           2138,$            392,$            383,$              2,$              1,$             14,$            191,N/A,$            763,$              0,$             51
South Dakota,2017.0,$           6918,$           2101,$            354,$            345,$              4,$              2,$             19,$            225,N/A,$            683,$              0,$             51
South Dakota,2018.0,$           6405,$           2191,$            352,$            346,$              3,$              5,$             23,$            214,N/A,$            662,$              0,$             54
South Dakota,2019.0,$           6033,$           2199,$            358,$            345,$              3,$              3,$             20,$            210,N/A,$            681,$              0,$             52
South Dakota,2020.0,$           7441,$           2274,$            325,$            314,$              2,$              2,$             26,$            229,N/A,$            859,$              0,$             59
Tennessee,2010.0,$           4676,$           1654,$            273,$            269,$              0,$              0,$             27,$            241,N/A,$            235,$              0,$             32
Tennessee,2011.0,$           5411,$           1750,$            285,$            281,$              0,$              0,$             22,$            226,N/A,$            242,$              0,$             34
Tennessee,2012.0,$           4639,$           1761,$            230,$            226,$              0,$              0,$             30,$            176,N/A,$            251,$              0,$             27
Tennessee,2013.0,$           4955,$           1802,$            238,$            234,$              0,$              0,$             33,$            133,N/A,$            237,$              0,$             29
Tennessee,2014.0,$           5167,$           1800,$            246,$            241,$              0,$              0,$             34,$            134,N/A,$            218,$              0,$             31
Tennessee,2015.0,$           4550,$           1920,$            242,$            239,$              0,$              0,$             30,$            135,N/A,$            206,$              0,$             32
Tennessee,2016.0,$           4688,$           2006,$            247,$            245,$              0,$              0,$             25,$            135,N/A,$            199,$              0,$             31
Tennessee,2017.0,$           6694,$           2062,$            249,$            247,$              0,$              0,$             34,$            145,N/A,$            196,$              0,$             33
Tennessee,2018.0,$           6039,$           2313,$            240,$            238,$              0,$              0,$             43,$            151,N/A,$            231,$              0,$             35
Tennessee,2019.0,$           6036,$           2397,$            239,$            238,$              0,$              0,$             29,$            156,N/A,$            246,$              0,$             34
Tennessee,2020.0,$           5687,$           2424,$            236,$            234,$              0,$              0,$             41,$            179,N/A,$            270,$              0,$             37
Texas,2010.0,$           4775,$           1566,$            258,$            257,$              4,$              0,$              3,$            257,N/A,$            220,$              0,$             32
Texas,2011.0,$           5240,$           1683,$            275,$            275,$              4,$              0,$              3,$            258,N/A,$            246,$              0,$             34
Texas,2012.0,$           4729,$           1842,$            241,$            241,$              4,$              0,$              2,$            306,N/A,$            253,$              0,$             32
Texas,2013.0,$           5255,$           1959,$            253,$            253,$              5,$              0,$              2,$            321,N/A,$            267,$              0,$             33
Texas,2014.0,$           5729,$           2049,$            263,$            263,$              6,$              0,$              3,$            340,N/A,$            295,$              0,$             35
Texas,2015.0,$           4878,$           2011,$            257,$            257,$              6,$              0,$              4,$            340,N/A,$            293,$              0,$             37
Texas,2016.0,$           5153,$           1873,$            275,$            275,$              8,$              0,$              4,$            364,N/A,$            327,$              0,$             41
Texas,2017.0,$           5754,$           1902,$            284,$            284,$              9,$              0,$              5,$            361,N/A,$            348,$              0,$             44
Texas,2018.0,$           6017,$           2116,$            304,$            304,$              9,$              0,$              5,$            369,N/A,$            561,$              0,$             44
Texas,2019.0,$           5720,$           2194,$            308,$            307,$             11,$              0,$              8,$            404,N/A,$            613,$              0,$             39
Texas,2020.0,$           6738,$           2088,$            307,$            306,$             10,$              0,$              4,$            449,N/A,$            446,$              0,$             43
Utah,2010.0,$           5824,$           1887,$            498,$            497,$             12,$              0,$             97,$            460,N/A,$            539,$              0,$             46
Utah,2011.0,$           6041,$           1958,$            539,$            539,$             13,$              0,$            102,$            446,N/A,$            508,$              0,$             50
Utah,2012.0,$           5483,$           2031,$            492,$            490,$              0,$              0,$             93,$            471,N/A,$            581,$              0,$             52
Utah,2013.0,$           6462,$           2164,$            508,$            506,$              0,$              0,$             91,$            507,N/A,$            383,$              0,$             52
Utah,2014.0,$           6538,$           2139,$            516,$            514,$              0,$              0,$             83,$            563,N/A,$            300,$              0,$             52
Utah,2015.0,$           6272,$           2235,$            537,$            536,$              0,$              0,$             93,$            590,N/A,$            323,$              0,$             48
Utah,2016.0,$           5943,$           2312,$            557,$            556,$              0,$              0,$            118,$            666,N/A,$            324,$              0,$             50
Utah,2017.0,$           6907,$           2522,$            585,$            584,$              1,$              0,$             93,$            739,N/A,$            373,$              0,$             48
Utah,2018.0,$           7985,$           2944,$            615,$            614,$              1,$              0,$             98,$            788,N/A,$            402,$              0,$             50
Utah,2019.0,$           6884,$           3068,$            679,$            679,$              1,$              0,$            111,$            874,N/A,$            426,$              0,$             53
Utah,2020.0,$           8224,$           2661,$            691,$            691,$              0,$              0,$            110,$            973,N/A,$            533,$              0,$             60
Vermont,2010.0,$           9581,$           4009,$            851,$            851,$              0,$              0,$              9,$            282,N/A,$            540,$              0,$            112
Vermont,2011.0,$          10334,$           4269,$            881,$            881,$              0,$              0,$             11,$            310,N/A,$            582,$              0,$            133
Vermont,2012.0,$           9152,$           4330,$            743,$            743,$              0,$              0,$             11,$            431,N/A,$            656,$              0,$            153
Vermont,2013.0,$           9999,$           4504,$            752,$            752,$              0,$              0,$             12,$            480,N/A,$            537,$              0,$            158
Vermont,2014.0,$          10277,$           4674,$            759,$            759,$              1,$              0,$             21,$            545,N/A,$            603,$              0,$            163
Vermont,2015.0,$          10007,$           4786,$            811,$            810,$              1,$              0,$             10,$            585,N/A,$            655,$              0,$            178
Vermont,2016.0,$          10321,$           4899,$            849,$            849,$              0,$              0,$              9,$            593,N/A,$            584,$              0,$            158
Vermont,2017.0,$          10768,$           4941,$            891,$            890,$              1,$              0,$              9,$            614,N/A,$            569,$              0,$            124
Vermont,2018.0,$          10955,$           5192,$            854,$            854,$              1,$             11,$              9,$            640,N/A,$            599,$              0,$            130
Vermont,2019.0,$          11134,$           5407,$            882,$            882,$              1,$             22,$             10,$            663,N/A,$            584,$              0,$            139
Vermont,2020.0,$          13049,$           5323,$            861,$            861,$              1,$              6,$             13,$            693,N/A,$            615,$              0,$            149
Virginia,2010.0,$           5777,$           2045,$            447,$            444,$              4,$              0,$             20,$            478,N/A,$            294,$              0,$             35
